driver,n_car_races,mean_gain_s,median_gain_s,sd_gain_s,se_gain_s
BEA,5,9.544045726950026,8.052740121604984,10.294102031381268,4.603662381897437
BOR,5,9.997859702318966,2.5596657377363954,16.487920248299126,7.373622096558411
DEV,5,12.872044603862559,7.829324444101076,15.60962883532496,6.980838235865496
SAR,8,15.34937136390613,15.046614736981155,10.406608642610337,3.6792917701721506
GRO,10,17.58736765728954,18.065985647534035,18.08632621132466,5.719398533258977
COL,6,18.91604403275384,20.071876171887197,12.173196708245207,4.969686745621431
RIC,20,19.294085412507776,14.348516293744524,17.522600235406752,3.9181725268923313
RAI,13,19.492191928823978,17.460938907009222,17.654022295775224,4.896344815815544
KUB,6,19.57375625073837,13.103098597693588,20.150332515854718,8.22633880187608
HAM,38,21.51490549845386,16.333905720201074,19.99308121158221,3.243306046925614
OCO,28,21.673308235588042,17.56458231667284,19.83930401040541,3.7492760425813643
ALB,31,21.869755648004624,15.88471744846629,21.16685344348158,3.8016791056729895
LEC,36,22.26268944246408,17.786687164361865,18.721364670624393,3.1202274451040655
GAS,37,22.44970925151277,18.228550850347347,17.370538146798467,2.8556988802827457
HUL,26,22.647829903205338,16.97849570055132,17.451279210209755,3.422477431923678
MAG,26,23.108510717763867,18.30142807388347,16.626876862468748,3.2607988296858665
STR,33,23.353109568182706,17.875495965196933,19.03267005166784,3.313162589172548
ALO,28,23.374906405014922,18.328389983987563,20.024156414202405,3.7842098632741745
ZHO,19,23.72470649647436,20.38667866772812,17.99202171296628,4.127652865095241
VET,16,24.014209631971482,16.200376569875516,21.140469137043322,5.2851172842608305
KVY,8,24.53042090840495,24.02237707919585,12.102293703430757,4.278806972803571
SAI,34,24.72198948809118,22.04567856215499,17.336475377058107,2.9731809985234077
PER,31,24.78457710292951,18.213121184148804,19.840669315789206,3.563489404875686
GIO,13,25.496619021292926,22.863699522450588,22.93236023860245,6.3602923621302105
VER,38,25.533045710278248,19.751428709887477,19.823763200725303,3.2158390385813727
TSU,23,26.24848683765294,16.07888905908203,25.8102162432332,5.381802116644164
LAW,9,26.656024628454865,23.85687570310438,26.467110575879296,8.822370191959765
PIA,17,26.690112827041958,17.077896820685055,23.158653800277577,5.61679857445037
RUS,35,27.306115793043265,23.75425842784807,26.278407790547806,4.441861630334495
BOT,32,27.35384904827663,21.36664433508986,25.637136014566227,4.5320481815254094
NOR,35,28.26474172902134,21.038336213936418,24.55176044025173,4.150004959430805
MSC,8,30.685988650431682,18.073190465026073,26.038276077734423,9.205920792486735
LAT,9,34.010889847612816,29.20133173792601,21.158555532474047,7.052851844158016
