team,n_car_races,mean_gain_s,median_gain_s,sd_gain_s,share_suboptimal,se_gain_s
Audi,1,0.6186854614306867,0.6186854614306867,,0.0,
Racing Bulls,9,7.700200168269374,2.3713222647775183,10.620185884776687,0.8888888888888888,3.540061961592229
Sauber,3,14.082124980386046,11.014469947226644,14.411870024046065,1.0,8.320697037908895
Toro Rosso,17,16.65778798795819,15.88471744846629,12.091136176818274,0.9411764705882353,2.932531270044038
Kick Sauber,14,16.9399508612737,8.686329974480486,18.072701305358073,0.9285714285714286,4.830132595582292
Racing Point,21,21.8017111996672,15.930196850530592,16.2752202793386,0.8571428571428571,3.5515442324833084
Ferrari,70,21.998366642712256,16.984561165572813,18.22465454603455,0.9428571428571428,2.178262850865661
Alfa Romeo,29,22.13192130702878,20.38667866772812,17.816607669358596,0.896551724137931,3.3084609863294006
Haas F1 Team,68,22.347394365486654,16.148059197201746,19.30681329213668,0.9264705882352942,2.341295014634076
Alpine,51,22.65207528212806,18.316097435801566,19.953655789539162,0.9411764705882353,2.794070680564188
Aston Martin,48,22.70608347804091,16.013652627488682,20.21266836491847,0.8958333333333334,2.9174473803815784
Williams,63,22.799645983747247,16.213202137469125,19.8929798827867,0.9365079365079365,2.5062798859935445
Alfa Romeo Racing,24,22.88258527672008,19.81228657594056,20.713718558471395,0.9583333333333334,4.2281700953227705
Force India,2,23.764050959109227,23.764050959109227,3.010524679197835,1.0,2.1287624155902445
Cadillac,2,25.30698947870451,25.30698947870451,24.666533667715914,1.0,17.4418732248082
Red Bull Racing,73,25.460825255165357,19.34082525955,20.26160288211809,0.958904109589041,2.371441245355527
Mercedes,77,25.758586756815696,18.203934253596344,25.125284806169507,0.935064935064935,2.8632919402236596
AlphaTauri,40,25.82017222712625,18.920568871054,20.75542432239222,0.95,3.2817207331008165
McLaren,71,26.339496089342582,19.41987456863808,22.446450278552074,0.9577464788732394,2.663903548214591
Renault,19,26.808235229516963,21.116624712769408,17.57742017352904,0.9473684210526315,4.032536748661381
RB,5,46.3128508312404,35.93084107179675,34.82068013504906,0.8,15.57228156094925
