circuit,races,mean_passes_per_race,median_passes,min_passes,max_passes
monaco,8,3.75,4.5,1,6
albert_park,7,17.428571428571427,11.0,3,32
singapore,6,17.5,20.0,9,24
silverstone,10,18.9,18.0,13,24
nurburgring,1,19.0,19.0,19,19
istanbul,2,19.5,19.5,19,20
baku,7,20.857142857142858,21.0,10,35
hockenheim,2,22.5,22.5,15,30
imola,5,22.6,26.0,4,44
mugello,1,23.0,23.0,23,23
villeneuve,7,23.0,23.0,9,38
lusail,4,24.25,25.5,5,41
jeddah,5,25.8,28.0,18,31
sochi,4,26.0,22.0,19,41
spa,9,27.333333333333332,28.0,0,43
shanghai,5,27.6,28.0,17,39
hungaroring,9,28.0,29.0,16,45
bahrain_outer,1,28.0,28.0,28,28
suzuka,7,28.285714285714285,35.0,11,40
paul_ricard,4,30.75,30.5,19,43
rodriguez,7,30.857142857142858,30.0,14,45
cota,7,31.285714285714285,26.0,17,53
catalunya,9,31.555555555555557,31.0,10,49
miami,5,31.6,33.0,12,50
monza,8,31.75,29.0,16,60
zandvoort,6,32.0,29.0,17,55
red_bull_ring,11,32.36363636363637,31.0,22,47
bahrain,8,33.375,34.0,17,44
yas_marina,8,34.75,27.5,13,59
interlagos,7,35.57142857142857,38.0,18,49
portimao,2,37.5,37.5,27,48
las_vegas,3,40.666666666666664,48.0,16,58
