bin,n,mean_predicted,observed_rate,gap
0,5616,0.0014004760409850243,0.0008903133903133903,0.000510162650671634
1,6091,0.0027516302502795216,0.0029551797734362175,-0.00020354952315669583
2,5858,0.003983654537331065,0.003584841242744964,0.00039881329458610077
3,5870,0.0062636850166944745,0.004770017035775128,0.0014936679809193464
4,5723,0.010910502935290686,0.01100821247597414,-9.770954068345425e-05
5,5948,0.019186377824990178,0.019502353732347006,-0.00031597590735682815
6,5906,0.033860885644802455,0.03149339654588554,0.0023674890989169167
7,5860,0.07250541826021023,0.06808873720136518,0.004416681058845046
8,5859,0.1691974976002461,0.16572793992148832,0.003469557678757784
9,5860,0.47986846089467083,0.49146757679180886,-0.011599115897138024
