circuit_key,compound_rank,estimator,estimator_order,wear_s_per_lap,se_s_per_lap,laps,stints,races
albert_park,HARDEST,Naive,1,0.04415447268281883,0.002535427588130137,1728,78,4
albert_park,MIDDLE,Naive,1,0.0020483066094984376,0.003154706780904008,1507,75,5
albert_park,SOFTEST,Naive,1,0.01683835658613225,0.004936899051903082,841,65,5
bahrain,HARDEST,Naive,1,0.10500473847235933,0.0027890317750867664,1485,85,6
bahrain,MIDDLE,Naive,1,0.11159942317831693,0.0024975888692324896,2612,155,7
bahrain,SOFTEST,Naive,1,0.14177841278123743,0.004034184561994308,1992,189,7
bahrain_outer,HARDEST,Naive,1,0.031603850892857444,0.002506350770353838,271,13,1
bahrain_outer,MIDDLE,Naive,1,0.024365662941428987,0.0019162337995265316,587,24,1
bahrain_outer,SOFTEST,Naive,1,0.01822939456855058,0.003080469573537932,329,18,1
baku,HARDEST,Naive,1,0.008242642545244348,0.005437372774057847,1877,80,4
baku,MIDDLE,Naive,1,0.013189400742090374,0.003071879529139241,2330,113,7
baku,SOFTEST,Naive,1,-0.02405815357104933,0.0067610453219427765,864,93,6
catalunya,HARDEST,Naive,1,0.05272567666885294,0.002597123935381972,2152,98,8
catalunya,MIDDLE,Naive,1,0.06178750163266285,0.0019180397474384105,3901,193,9
catalunya,SOFTEST,Naive,1,0.058001345834719914,0.002239421983782887,3549,247,9
cota,HARDEST,Naive,1,0.06056420247338123,0.002196871633849914,2893,137,7
cota,MIDDLE,Naive,1,0.05997742759114821,0.0023764968842665242,2413,157,7
cota,SOFTEST,Naive,1,0.05628159434689084,0.004284274258088786,720,43,6
hockenheim,HARDEST,Naive,1,0.1580163117967461,0.04092246750155239,151,9,1
hockenheim,MIDDLE,Naive,1,0.0353654449625073,0.00946757121562053,179,12,1
hockenheim,SOFTEST,Naive,1,-0.03627176662502397,0.015068607171143826,144,13,1
hungaroring,HARDEST,Naive,1,0.05323786890518684,0.0016597757893804675,4415,157,8
hungaroring,MIDDLE,Naive,1,0.03415843186460211,0.0019972161253463696,3781,174,8
hungaroring,SOFTEST,Naive,1,0.03963123883740164,0.00460860483149344,1229,80,8
imola,HARDEST,Naive,1,0.03292028792513036,0.0027720392937929717,1097,35,3
imola,MIDDLE,Naive,1,0.004369035465803186,0.0026689046873269806,2121,91,4
imola,SOFTEST,Naive,1,0.02345719812063316,0.004408023115093672,505,47,4
interlagos,HARDEST,Naive,1,0.03249519143346032,0.0025830174319621535,1298,52,5
interlagos,MIDDLE,Naive,1,0.04404756017471081,0.0016310619711573206,2492,141,5
interlagos,SOFTEST,Naive,1,0.03618338347130594,0.002293470938364863,1494,98,5
jeddah,HARDEST,Naive,1,-0.047069456812145236,0.020462358707363605,1280,48,3
jeddah,MIDDLE,Naive,1,-0.024625453801248715,0.010248057229751528,1731,98,5
jeddah,SOFTEST,Naive,1,0.031662680152234224,0.004110598005692905,544,43,5
las_vegas,HARDEST,Naive,1,0.03981411603644033,0.004750216031291067,1156,65,2
las_vegas,MIDDLE,Naive,1,0.038109386581717045,0.004261779990052673,843,54,3
las_vegas,SOFTEST,Naive,1,0.03519727209424371,0.00512118982063286,243,17,3
lusail,HARDEST,Naive,1,0.02320263327094048,0.0034404351281699603,1170,73,4
lusail,MIDDLE,Naive,1,0.009266526385191813,0.0024382368404940445,1868,119,4
lusail,SOFTEST,Naive,1,-0.035980665376999406,0.010084754551885212,292,22,4
miami,HARDEST,Naive,1,0.020701366731886623,0.0018177980706839585,2096,74,4
miami,MIDDLE,Naive,1,0.020996246585657248,0.002813188300674036,1727,105,5
miami,SOFTEST,Naive,1,0.024706936633868838,0.005618983548497356,336,30,5
monaco,HARDEST,Naive,1,0.020878243033576663,0.002853964418407932,3313,90,6
monaco,MIDDLE,Naive,1,0.01785195891355247,0.002837685625594082,2600,92,6
monaco,SOFTEST,Naive,1,0.03274107063458362,0.0031626340385637617,1284,76,6
monza,HARDEST,Naive,1,0.022690381090074218,0.004532772605712542,1628,70,5
monza,MIDDLE,Naive,1,-0.014880630941494109,0.009434375646685847,2499,125,7
monza,SOFTEST,Naive,1,0.01960276910663145,0.009241323826824337,1546,95,6
nurburgring,MIDDLE,Naive,1,0.06294298952542098,0.007328724875001419,356,22,1
nurburgring,SOFTEST,Naive,1,-0.005698734924187489,0.0070482101007830885,320,26,1
paul_ricard,HARDEST,Naive,1,0.030311770804360337,0.002873840787774033,1442,51,3
paul_ricard,MIDDLE,Naive,1,0.036394767385009054,0.0028587775698330725,1366,74,4
paul_ricard,SOFTEST,Naive,1,0.042599800889206785,0.003830328222889689,571,36,4
portimao,HARDEST,Naive,1,0.01383944067369891,0.0030344516822764546,765,25,2
portimao,MIDDLE,Naive,1,-0.006882187899889118,0.0029670474440105826,1197,38,2
portimao,SOFTEST,Naive,1,-0.025684329009024873,0.00708940172926078,338,20,2
red_bull_ring,HARDEST,Naive,1,0.03790963904690367,0.003488168578689625,5467,199,10
red_bull_ring,MIDDLE,Naive,1,0.031261095593676014,0.0021905137541740334,4840,232,11
red_bull_ring,SOFTEST,Naive,1,0.03640866938746731,0.009666162616321337,1624,96,10
rodriguez,HARDEST,Naive,1,0.013685159993047097,0.0035110798919140936,3585,111,7
rodriguez,MIDDLE,Naive,1,0.01332857934553442,0.005141488617356014,3225,140,7
rodriguez,SOFTEST,Naive,1,0.05330263902549888,0.002566170321610813,1104,58,7
shanghai,HARDEST,Naive,1,0.021340428919483952,0.002230557784981836,1503,74,4
shanghai,MIDDLE,Naive,1,0.02502494649058456,0.0017342664145013,1749,107,5
shanghai,SOFTEST,Naive,1,0.021038752306383076,0.0026716158352414667,500,49,5
silverstone,HARDEST,Naive,1,0.018422222096869258,0.0035309246351600924,2018,103,7
silverstone,MIDDLE,Naive,1,0.07416644233679646,0.00478271248260638,2228,144,7
silverstone,SOFTEST,Naive,1,0.037715794006206935,0.004786252449216645,878,74,7
singapore,HARDEST,Naive,1,0.04123561292880562,0.0034794433562026638,2285,80,5
singapore,MIDDLE,Naive,1,0.02579620719047925,0.0029598235455848727,1951,83,5
singapore,SOFTEST,Naive,1,0.026197116295736927,0.009016242070131112,724,48,5
sochi,HARDEST,Naive,1,0.010924951533283739,0.004015728058639359,1225,38,3
sochi,MIDDLE,Naive,1,0.02252426419885553,0.005081752677410483,1283,66,4
sochi,SOFTEST,Naive,1,-0.012726128433444594,0.008344511982315242,720,48,4
spa,HARDEST,Naive,1,0.0634577351800702,0.003564288793561604,1442,78,6
spa,MIDDLE,Naive,1,0.09375004129982126,0.003972275603574844,1927,143,8
spa,SOFTEST,Naive,1,0.0558892922291655,0.0033787204859192393,1747,112,8
suzuka,HARDEST,Naive,1,0.06197306500311034,0.003011181177840936,1466,62,4
suzuka,MIDDLE,Naive,1,0.05055842457884663,0.002478800187186287,1779,93,5
suzuka,SOFTEST,Naive,1,0.06705494092636848,0.0037846286962109938,1000,69,5
villeneuve,HARDEST,Naive,1,0.018567522270709482,0.001485456088876392,2415,69,4
villeneuve,MIDDLE,Naive,1,0.014668511553407874,0.0014852288921970594,2927,125,6
villeneuve,SOFTEST,Naive,1,0.00640958766540596,0.003324036757138577,1018,80,6
yas_marina,HARDEST,Naive,1,0.03290629720815732,0.0016024965069447088,4100,145,7
yas_marina,MIDDLE,Naive,1,0.05272712588743517,0.0020113223822864853,2775,162,8
yas_marina,SOFTEST,Naive,1,0.06028711045297349,0.005239139316168401,641,60,8
zandvoort,HARDEST,Naive,1,0.04009042219486917,0.002143174878876554,1932,72,5
zandvoort,MIDDLE,Naive,1,0.039319475138883515,0.0027301050168552906,1868,89,5
zandvoort,SOFTEST,Naive,1,-0.040651310695605736,0.011264229313731762,1664,112,5
albert_park,HARDEST,Fixed effects,2,0.03799928980782122,0.0027418335806778694,1728,78,4
albert_park,MIDDLE,Fixed effects,2,0.009643419161882584,0.003235008296323813,1507,75,5
