circuit_key,circuit,short_name,lap_km,drs_zones,circuit_type,pass_chance_per_lap,pass_chance_lo,pass_chance_hi,cost_of_being_stuck_s,cost_lo_s,cost_hi_s,at_ceiling,pit_loss_s,pit_loss_se_s,expected_cautions_per_race,opportunities,passes
albert_park,Albert Park,Melbourne,5.278,4,Street,0.1040154092232763,0.05826751923240323,0.18217264602383407,4.806980078564275,2.744684710149738,8.581417513637863,False,22.904645049024325,0.5806113504543242,1.2593061899500773,2159,122
bahrain,Bahrain International,Bahrain,5.412,3,Permanent,0.31846305216896775,0.18597052826301627,0.41618734681589287,1.5700408464800926,1.2013874060572762,2.6886159435826475,False,24.462882068103287,0.2022132798558956,1.1263225728412445,2246,267
bahrain_outer,Bahrain Outer Loop,Sakhir Outer,3.543,2,Permanent,,,,,,,,23.52015892810138,0.5039163379306375,1.7521599967478,588,28
baku,Baku City,Baku,6.003,2,Street,0.1076018404198421,0.0643967170274782,0.19249513018148534,4.646760669232926,2.5975219363763737,7.76437098940083,False,23.330839638880366,0.42762276043698866,1.1622334388331599,2007,146
catalunya,Barcelona-Catalunya,Barcelona,4.657,2,Permanent,0.25018069314238073,0.14187363190964025,0.3512729368315929,1.9985554989067211,1.4234168313850795,3.524537335769171,False,23.49063213467915,0.17859262064389936,1.130196281536654,3241,284
cota,Circuit of the Americas,Austin,5.513,2,Permanent,0.34647953919237745,0.19990914111192423,0.4767943212343469,1.4430866571961776,1.0486705204878162,2.501159371487816,False,21.326163429048574,0.2336359715750048,1.0360602472604463,1914,219
hockenheim,Hockenheimring,Hockenheim,4.574,3,Permanent,0.3820367541951001,0.17962196397356653,0.4974723308363015,1.3087745995890698,1.0050826662081707,2.783719997622545,False,23.421532388718518,,1.311402949684455,370,45
hungaroring,Hungaroring,Budapest,4.381,2,Permanent,0.13526110093645408,0.07436831650578238,0.20942772608722787,3.6965542682881236,2.3875920337791112,6.723297118349307,False,21.873451040728046,0.20097041197722187,1.1390661939165856,3467,252
imola,Imola,Imola,4.909,1,Permanent,0.12367303030583553,0.07369837507234453,0.19837399158276695,4.042918644133906,2.520551859044854,6.785446263750783,False,28.427160781537886,0.5381494325449511,1.2759317052756787,1948,113
interlagos,Interlagos,São Paulo,4.309,2,Permanent,0.1340308184960899,0.08708137206764689,0.20897571865776052,3.7304853138279284,2.3926588720086226,5.741756422723132,False,22.012148528930204,0.2075100632257664,1.4992249291680453,2648,249
istanbul,Istanbul Park,Istanbul,5.338,2,Permanent,,,,,,,,,,1.0796913340575474,448,39
jeddah,Jeddah Corniche,Jeddah,6.174,3,Street,0.1244149111821951,0.07376579574906482,0.23089289973903118,4.018810890503248,2.1655459771889665,6.781261210183596,False,21.859358624033746,0.916803186434162,1.0270367119819008,1634,129
las_vegas,Las Vegas Strip,Las Vegas,6.201,2,Street,0.22248273837661106,0.10870663176951577,0.32120591351885186,2.2473653625820504,1.55663385833993,4.599539524096982,False,23.58240875135603,0.5209651450336993,1.0096889294116194,1016,122
lusail,Lusail International,Lusail,5.419,1,Permanent,0.16394605533630968,0.07030105663084359,0.2501313117884875,3.049783655814885,1.999247920585453,7.112673241613422,False,27.334545608957303,0.4599681074941779,1.168072325618912,1447,97
miami,Miami International,Miami,5.412,3,Street,0.1633776099478839,0.0989499608017912,0.2563830389076695,3.060394873933435,1.9502091088612847,5.053254077902284,False,20.556655320857722,0.4575323093696371,1.156698836223413,1956,158
monaco,Monte Carlo,Monaco,3.337,1,Street,0.016436005853671994,0.011556264139658778,0.07581876081694454,12.5,6.595988232187706,12.5,True,20.298852402679636,0.36555430032654784,1.3962701048045532,3956,30
monza,Monza,Monza,5.793,2,Permanent,0.204456662636767,0.11988378302030232,0.2938542303266453,2.4455060233878925,1.7015239168666343,4.1707862939309415,False,25.735004147251136,0.32384252027628696,1.0860475133757013,2978,254
mugello,Mugello,Mugello,5.245,1,Permanent,,,,,,,,25.04834548576128,1.1145062158364507,1.1879563409056924,214,23
