race_id,season,round,event_name,circuit_key,event_date,race_laps,cars,laps_recorded,green_lap_share,exclusion_reason,used_in_strategy_models,race_label
2018_01,2018,1,Australian Grand Prix,albert_park,2018-03-25,58,20,940,0.6894,,True,2018 Australian Grand Prix
2018_02,2018,2,Bahrain Grand Prix,bahrain,2018-04-08,57,20,998,0.8136,,True,2018 Bahrain Grand Prix
2018_03,2018,3,Chinese Grand Prix,shanghai,2018-04-15,56,20,1115,0.3561,,True,2018 Chinese Grand Prix
2018_04,2018,4,Azerbaijan Grand Prix,baku,2018-04-29,51,20,848,0.6061,,True,2018 Azerbaijan Grand Prix
2018_05,2018,5,Spanish Grand Prix,catalunya,2018-05-13,66,20,1021,0.8472,,True,2018 Spanish Grand Prix
2018_06,2018,6,Monaco Grand Prix,monaco,2018-05-27,78,20,1516,0.9044,,True,2018 Monaco Grand Prix
2018_07,2018,7,Canadian Grand Prix,villeneuve,2018-06-10,70,20,1219,0.9393,,True,2018 Canadian Grand Prix
2018_08,2018,8,French Grand Prix,paul_ricard,2018-06-24,53,20,920,0.8141,,True,2018 French Grand Prix
2018_09,2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,71,20,1244,0.8135,,True,2018 Austrian Grand Prix
2018_10,2018,10,British Grand Prix,silverstone,2018-07-08,52,20,902,0.6552,,True,2018 British Grand Prix
2018_11,2018,11,German Grand Prix,hockenheim,2018-07-22,67,20,1252,0.3946,,True,2018 German Grand Prix
2018_12,2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,70,20,1233,0.8646,,True,2018 Hungarian Grand Prix
2018_13,2018,13,Belgian Grand Prix,spa,2018-08-26,44,20,693,0.8817,,True,2018 Belgian Grand Prix
2018_15,2018,15,Singapore Grand Prix,singapore,2018-09-16,61,20,1146,0.9328,,True,2018 Singapore Grand Prix
2018_16,2018,16,Russian Grand Prix,sochi,2018-09-30,53,20,948,0.9578,,True,2018 Russian Grand Prix
2018_17,2018,17,Japanese Grand Prix,suzuka,2018-10-07,53,20,977,0.8485,,True,2018 Japanese Grand Prix
2018_18,2018,18,United States Grand Prix,cota,2018-10-21,56,20,932,0.8938,,True,2018 United States Grand Prix
2018_19,2018,19,Mexican Grand Prix,rodriguez,2018-10-28,71,20,1245,0.8924,,True,2018 Mexican Grand Prix
2018_20,2018,20,Brazilian Grand Prix,interlagos,2018-11-11,71,20,1318,0.9659,,True,2018 Brazilian Grand Prix
2018_21,2018,21,Abu Dhabi Grand Prix,yas_marina,2018-11-25,55,20,943,0.8462,,True,2018 Abu Dhabi Grand Prix
2019_01,2019,1,Australian Grand Prix,albert_park,2019-03-17,58,20,1041,0.9625,,True,2019 Australian Grand Prix
2019_02,2019,2,Bahrain Grand Prix,bahrain,2019-03-31,57,20,1083,0.7812,,True,2019 Bahrain Grand Prix
2019_03,2019,3,Chinese Grand Prix,shanghai,2019-04-14,56,20,1046,0.9618,,True,2019 Chinese Grand Prix
2019_04,2019,4,Azerbaijan Grand Prix,baku,2019-04-28,51,20,948,0.9061,,True,2019 Azerbaijan Grand Prix
2019_05,2019,5,Spanish Grand Prix,catalunya,2019-05-12,66,20,1276,0.8691,,True,2019 Spanish Grand Prix
2019_06,2019,6,Monaco Grand Prix,monaco,2019-05-26,78,20,1490,0.8376,,True,2019 Monaco Grand Prix
2019_07,2019,7,Canadian Grand Prix,villeneuve,2019-06-09,70,20,1312,0.8742,,True,2019 Canadian Grand Prix
2019_08,2019,8,French Grand Prix,paul_ricard,2019-06-23,53,20,1037,0.9132,,True,2019 French Grand Prix
2019_09,2019,9,Austrian Grand Prix,red_bull_ring,2019-06-30,71,20,1401,1.0,,True,2019 Austrian Grand Prix
2019_10,2019,10,British Grand Prix,silverstone,2019-07-14,52,20,914,0.8578,,True,2019 British Grand Prix
2019_11,2019,11,German Grand Prix,hockenheim,2019-07-28,64,20,1059,0.6251,Wet race,False,2019 German Grand Prix
