race_id,driver_code,team,grid_position,finish_position,classified,status,points,positions_gained
2018_01,VET,Ferrari,3.0,1.0,True,Finished,25.0,2.0
2018_01,HAM,Mercedes,1.0,2.0,True,Finished,18.0,-1.0
2018_01,RAI,Ferrari,2.0,3.0,True,Finished,15.0,-1.0
2018_01,RIC,Red Bull Racing,8.0,4.0,True,Finished,12.0,4.0
2018_01,ALO,McLaren,10.0,5.0,True,Finished,10.0,5.0
2018_01,VER,Red Bull Racing,4.0,6.0,True,Finished,8.0,-2.0
2018_01,HUL,Renault,7.0,7.0,True,Finished,6.0,0.0
2018_01,BOT,Mercedes,15.0,8.0,True,Finished,4.0,7.0
2018_01,VAN,McLaren,11.0,9.0,True,Finished,2.0,2.0
2018_01,SAI,Renault,9.0,10.0,True,Finished,1.0,-1.0
2018_01,PER,Force India,12.0,11.0,True,Finished,0.0,1.0
2018_01,OCO,Force India,14.0,12.0,True,Finished,0.0,2.0
2018_01,LEC,Sauber,18.0,13.0,True,Finished,0.0,5.0
2018_01,STR,Williams,13.0,14.0,True,Finished,0.0,-1.0
2018_01,HAR,Toro Rosso,16.0,15.0,True,+1 Lap,0.0,1.0
2018_01,GRO,Haas F1 Team,6.0,16.0,False,Wheel,0.0,
2018_01,MAG,Haas F1 Team,5.0,17.0,False,Wheel,0.0,
2018_01,GAS,Toro Rosso,20.0,18.0,False,Engine,0.0,
2018_01,ERI,Sauber,17.0,19.0,False,Steering,0.0,
2018_01,SIR,Williams,19.0,20.0,False,Brakes,0.0,
2018_02,VET,Ferrari,1.0,1.0,True,Finished,25.0,0.0
2018_02,BOT,Mercedes,3.0,2.0,True,Finished,18.0,1.0
2018_02,HAM,Mercedes,9.0,3.0,True,Finished,15.0,6.0
2018_02,GAS,Toro Rosso,5.0,4.0,True,Finished,12.0,1.0
2018_02,MAG,Haas F1 Team,6.0,5.0,True,Finished,10.0,1.0
2018_02,HUL,Renault,7.0,6.0,True,Finished,8.0,1.0
2018_02,ALO,McLaren,13.0,7.0,True,+1 Lap,6.0,6.0
2018_02,VAN,McLaren,14.0,8.0,True,+1 Lap,4.0,6.0
2018_02,ERI,Sauber,17.0,9.0,True,+1 Lap,2.0,8.0
2018_02,OCO,Force India,8.0,10.0,True,+1 Lap,1.0,-2.0
2018_02,SAI,Renault,10.0,11.0,True,+1 Lap,0.0,-1.0
2018_02,LEC,Sauber,19.0,12.0,True,+1 Lap,0.0,7.0
2018_02,GRO,Haas F1 Team,16.0,13.0,True,+1 Lap,0.0,3.0
2018_02,STR,Williams,20.0,14.0,True,+1 Lap,0.0,6.0
2018_02,SIR,Williams,18.0,15.0,True,+1 Lap,0.0,3.0
2018_02,PER,Force India,12.0,16.0,True,+1 Lap,0.0,-4.0
2018_02,HAR,Toro Rosso,11.0,17.0,True,+1 Lap,0.0,-6.0
2018_02,RAI,Ferrari,2.0,18.0,False,Wheel,0.0,
2018_02,VER,Red Bull Racing,15.0,19.0,False,Puncture,0.0,
2018_02,RIC,Red Bull Racing,4.0,20.0,False,Electrical,0.0,
2018_03,RIC,Red Bull Racing,6.0,1.0,True,Finished,25.0,5.0
2018_03,BOT,Mercedes,3.0,2.0,True,Finished,18.0,1.0
2018_03,RAI,Ferrari,2.0,3.0,True,Finished,15.0,-1.0
