stint_id,race_id,driver_code,team,stint,compound,compound_rank,fresh_tyre,start_lap,end_lap,stint_laps,ended_in_pit,ran_to_flag,tyre_life_observed,caution_during_stint
2018_01_ALO_s1,2018_01,ALO,McLaren,1,ULTRASOFT,SOFTEST,True,2.0,26.0,25.0,True,False,True,True
2018_01_ALO_s2,2018_01,ALO,McLaren,2,SOFT,HARDEST,True,27.0,58.0,32.0,False,True,False,True
2018_01_ALO_s<NA>,2018_01,ALO,McLaren,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_BOT_s1,2018_01,BOT,Mercedes,1,ULTRASOFT,SOFTEST,False,2.0,25.0,24.0,True,False,True,True
2018_01_BOT_s2,2018_01,BOT,Mercedes,2,SUPERSOFT,MIDDLE,True,26.0,58.0,33.0,False,True,False,True
2018_01_BOT_s<NA>,2018_01,BOT,Mercedes,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_ERI_s1,2018_01,ERI,Sauber,1,SUPERSOFT,MIDDLE,True,2.0,6.0,5.0,True,False,True,True
2018_01_ERI_s<NA>,2018_01,ERI,Sauber,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_GAS_s1,2018_01,GAS,Toro Rosso,1,ULTRASOFT,SOFTEST,True,2.0,14.0,13.0,True,False,True,True
2018_01_GAS_s<NA>,2018_01,GAS,Toro Rosso,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_GRO_s1,2018_01,GRO,Haas F1 Team,1,ULTRASOFT,SOFTEST,False,2.0,24.0,23.0,True,False,True,True
2018_01_GRO_s<NA>,2018_01,GRO,Haas F1 Team,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_HAM_s1,2018_01,HAM,Mercedes,1,ULTRASOFT,SOFTEST,False,3.0,19.0,17.0,True,False,True,True
2018_01_HAM_s2,2018_01,HAM,Mercedes,2,SOFT,HARDEST,True,20.0,58.0,39.0,False,True,False,True
2018_01_HAM_s<NA>,2018_01,HAM,Mercedes,,UNKNOWN,UNKNOWN,True,1.0,2.0,,False,False,False,True
2018_01_HAR_s1,2018_01,HAR,Toro Rosso,1,SUPERSOFT,MIDDLE,True,1.0,1.0,1.0,True,False,True,True
2018_01_HAR_s2,2018_01,HAR,Toro Rosso,2,SOFT,HARDEST,True,2.0,24.0,23.0,True,False,True,True
2018_01_HAR_s3,2018_01,HAR,Toro Rosso,3,ULTRASOFT,SOFTEST,True,25.0,57.0,33.0,False,True,False,True
2018_01_HUL_s1,2018_01,HUL,Renault,1,ULTRASOFT,SOFTEST,False,2.0,24.0,23.0,True,False,True,True
2018_01_HUL_s2,2018_01,HUL,Renault,2,SOFT,HARDEST,True,25.0,58.0,34.0,False,True,False,True
2018_01_HUL_s<NA>,2018_01,HUL,Renault,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_LEC_s1,2018_01,LEC,Sauber,1,SUPERSOFT,MIDDLE,True,2.0,20.0,19.0,True,False,True,True
2018_01_LEC_s2,2018_01,LEC,Sauber,2,SOFT,HARDEST,True,21.0,27.0,7.0,True,False,True,True
2018_01_LEC_s3,2018_01,LEC,Sauber,3,ULTRASOFT,SOFTEST,True,28.0,58.0,31.0,False,True,False,True
2018_01_LEC_s<NA>,2018_01,LEC,Sauber,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_MAG_s1,2018_01,MAG,Haas F1 Team,1,ULTRASOFT,SOFTEST,False,2.0,22.0,21.0,True,False,True,True
2018_01_MAG_s<NA>,2018_01,MAG,Haas F1 Team,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_OCO_s1,2018_01,OCO,Force India,1,ULTRASOFT,SOFTEST,True,2.0,23.0,22.0,True,False,True,True
2018_01_OCO_s2,2018_01,OCO,Force India,2,SOFT,HARDEST,True,24.0,58.0,35.0,False,True,False,True
2018_01_OCO_s<NA>,2018_01,OCO,Force India,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_PER_s1,2018_01,PER,Force India,1,ULTRASOFT,SOFTEST,True,2.0,24.0,23.0,True,False,True,True
2018_01_PER_s2,2018_01,PER,Force India,2,SOFT,HARDEST,True,25.0,58.0,34.0,False,True,False,True
2018_01_PER_s<NA>,2018_01,PER,Force India,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_RAI_s1,2018_01,RAI,Ferrari,1,ULTRASOFT,SOFTEST,False,2.0,18.0,17.0,True,False,True,True
2018_01_RAI_s2,2018_01,RAI,Ferrari,2,SOFT,HARDEST,True,19.0,58.0,40.0,False,True,False,True
2018_01_RAI_s<NA>,2018_01,RAI,Ferrari,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_RIC_s1,2018_01,RIC,Red Bull Racing,1,SUPERSOFT,MIDDLE,False,2.0,26.0,25.0,True,False,True,True
2018_01_RIC_s2,2018_01,RIC,Red Bull Racing,2,SOFT,HARDEST,True,27.0,58.0,32.0,False,True,False,True
2018_01_RIC_s<NA>,2018_01,RIC,Red Bull Racing,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_SAI_s1,2018_01,SAI,Renault,1,ULTRASOFT,SOFTEST,False,2.0,22.0,21.0,True,False,True,True
2018_01_SAI_s2,2018_01,SAI,Renault,2,SOFT,HARDEST,True,23.0,58.0,36.0,False,True,False,True
2018_01_SAI_s<NA>,2018_01,SAI,Renault,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_SIR_s1,2018_01,SIR,Williams,1,SUPERSOFT,MIDDLE,True,2.0,5.0,4.0,False,False,False,True
2018_01_SIR_s<NA>,2018_01,SIR,Williams,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_STR_s1,2018_01,STR,Williams,1,SUPERSOFT,MIDDLE,True,2.0,25.0,24.0,True,False,True,True
2018_01_STR_s2,2018_01,STR,Williams,2,SOFT,HARDEST,True,26.0,29.0,4.0,True,False,True,True
2018_01_STR_s3,2018_01,STR,Williams,3,ULTRASOFT,SOFTEST,True,30.0,58.0,29.0,False,True,False,True
2018_01_STR_s<NA>,2018_01,STR,Williams,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_VAN_s1,2018_01,VAN,McLaren,1,ULTRASOFT,SOFTEST,True,2.0,25.0,24.0,True,False,True,True
2018_01_VAN_s2,2018_01,VAN,McLaren,2,SUPERSOFT,MIDDLE,True,26.0,58.0,33.0,False,True,False,True
2018_01_VAN_s<NA>,2018_01,VAN,McLaren,,UNKNOWN,UNKNOWN,True,1.0,1.0,,False,False,False,True
2018_01_VER_s1,2018_01,VER,Red Bull Racing,1,SUPERSOFT,MIDDLE,False,2.0,21.0,20.0,True,False,True,True
2018_01_VER_s2,2018_01,VER,Red Bull Racing,2,SOFT,HARDEST,True,22.0,58.0,37.0,False,True,False,True
